,DRUG,GS,"Lasso 
BS",rank,Lasso,rank,Enet,rank,Ridge,rank,Spls,rank
1,"17-AAG""",,,,,,,,,,,
2,AEW541,"IGF1R
IRS1",,,"IGF1R
","144
","IGF1R
","53
","IGF1R
","193
","IGF1R
","6
"
3,AZD0530,EGFR,EGFR,2,EGFR,4,EGFR,1,EGFR,1,EGFR,1
4,AZD6244,"BRAF
NRAS
KRAS","BRAF
NRAS
","2
1
","BRAF
NRAS
","2
1
","BRAF
NRAS
","2
1
","BRAF
NRAS
KRAS","70
1
7878","BRAF
NRAS
KRAS","64
1
7246"
5,Erlotinib,EGFR,EGFR,1,EGFR,1,EGFR,1,EGFR,1,EGFR,1
6,Irinotecan,,,,,,,,,,,
7,L-685458,,,,,,,,,,,
8,LBH589,,,,,,,,,,,
9,LBW242,,,,,,,,,,,
10,Lapatinib,"ERBB2
EGFR","ERBB2
","1
","ERBB2
","1
","ERBB2
EGFR","1
48","ERBB2
EGFR","3
87","ERBB2
EGFR","1
1747"
11,Nilotinib,,,,,,,,,,,
12,Nutlin-3,"MDM2
TP53","MDM2
","14
",,,"MDM2
","190
","MDM2
TP53","131
872","MDM2
TP53","9
6293"
13,PD-0325901,"BRAF
NRAS
KRAS","BRAF
NRAS
KRAS","8
1
154","BRAF
NRAS
KRAS","6
1
62","BRAF
NRAS
KRAS","15
1
257","BRAF
NRAS
KRAS","33
1
495","BRAF
NRAS
KRAS","64
1
520"
14,PD-0332991,"CCND1
CDK4
RB",,,,,,,CCND1,,CCND1,
15,PF2341066,"MET
ALK","MET
","1
","MET
","1
","MET
","9
","MET
ALK","1
3554","MET
ALK","1
2105"
16,PHA-665752,MET,,,MET,,,,MET,8718,MET,2910
17,PLX4720,BRAF,BRAF,1,BRAF,1,BRAF,1,BRAF,1,BRAF,1
18,Paclitaxel,,,,,,,,,,,
19,RAF265,"BRAF
NRAS
KRAS","BRAF
","79
","BRAF
","79
","BRAF
NRAS
","99
93
","BRAF
NRAS
","161
43
","BRAF
NRAS
","269
732
"
20,Sorafenib,,,,,,,,,,,
21,TAE684,ALK,ALK,58,ALK,152,ALK,38,ALK,69,ALK,9
22,TKI258,"FGFR1
FGFR2
FGFR3",,,,,"
FGFR2
","
360
","FGFR1
FGFR2
FGFR3","
222
","FGFR1
FGFR2
FGFR3","
6719
"
23,Topotecan,,,,,,,,,,,
24,ZD-6474,EGFR,EGFR,1,EGFR,2,EGFR,1,EGFR,1,EGFR,1
