Index	Entrez ID	Gene Symbol	Cytoband	Illumina Id	Bootstrap Importance	Is cancer?	Is TF?
42030	2932	GSK3B	3q13.33a	ILMN_1779376	461.88	YES	No
12797	9364	RAB28	4p15.33c	ILMN_2293992	450.71	YES	No
4376	3171	FOXA3	19q13.32a	ILMN_1792733	446.24	No	YES
6185	2064	ERBB2	17q12c	ILMN_1728761	445.22	YES	No
29588	57649	PHF12	17q11.2a	ILMN_1730799	439.91	No	YES
28835	1789	DNMT3B	20q11.21c	ILMN_2328972	438.55	YES	No
25958	2064	ERBB2	17q12c	ILMN_2352131	438.09	YES	No
20266	11128	POLR3A	10q22.3c	ILMN_2197247	432.66	No	YES
21750	6830	SUPT6H	17q11.2a	ILMN_1758717	430.16	No	YES
11508	10217	CTDSPL	3p22.2b-p22.2a	ILMN_2392189	429.45	YES	YES
46226	7182	NR2C2	3p24.3e	ILMN_1724479	423.79	No	YES
19051	4861	NPAS1	19q13.32b	ILMN_1747067	418.29	No	YES
4245	5087	PBX1	1q23.3d-q23.3e	ILMN_1784678	416.63	No	YES
28293	91608	RASL10B	17q12b	ILMN_1788813	407.35	YES	No
17062	5467	PPARD	6p21.31c	ILMN_1674282	401.10	YES	YES
38088	10641	TUSC4	3p21.31b	ILMN_2191568	399.61	YES	No
6183	7589	ZSCAN21	7q22.1b	ILMN_1789410	398.48	No	YES
28766	3934	LCN2	9q34.11b	ILMN_1692223	397.93	YES	No
27374	51230	PHF20	20q11.22b-q11.23a	ILMN_1813657	397.88	No	YES
35236	29890	RBM15B	3p21.2c	ILMN_1673024	397.84	No	YES
13943	84839	RAXL1	19p13.3e	ILMN_1653412	397.47	No	YES
26771	596	BCL2	18q21.33b	ILMN_2246956	396.38	YES	No
42991	5932	RBBP8	18q11.2b	ILMN_2363621	396.29	YES	No
17924	60561	RINT1	7q22.2b	ILMN_1784584	390.17	YES	No
369	7005	TEAD3	6p21.31c	ILMN_1814002	390.14	No	YES
18636	7592	ZNF41	Xp11.3a	ILMN_1789750	386.56	No	YES
3156	6899	TBX1	22q11.21c	ILMN_1698015	385.87	No	YES
5698	51385	ZNF589	3p21.31f	ILMN_1654819	384.50	No	YES
8155	9584	RBM39	20q11.22b	ILMN_2411963	381.91	No	YES
15083	4854	NOTCH3	19p13.12b	ILMN_1658926	381.53	No	YES
22486	4928	NUP98	11p15.4d	ILMN_1732776	381.32	YES	No
7099	378708	APITD1	1p36.22c	ILMN_1788135	381.19	YES	No
29969	60	ACTB	7p22.1c	ILMN_2152131	380.90	YES	No
2785	8339	HIST1H2BG	6p22.1d	ILMN_1716195	379.68	No	YES
10182	1999	ELF3	1q32.1c	ILMN_1769201	378.67	No	YES
26808	7984	ARHGEF5	7q35a	ILMN_1708093	377.83	YES	No
25843	3688	ITGB1	10p11.22b	ILMN_1784454	377.74	YES	No
22410	8091	HMGA2	12q14.3b	ILMN_1666236	377.15	YES	YES
44497	7982	ST7	7q31.2c	ILMN_1707763	375.99	YES	No
25654	1474	CST6	11q13.1d	ILMN_1697733	375.13	YES	No
9468	11064	CEP110	9q33.2a	ILMN_1758778	375.08	No	YES
38246	58508	MLL3	7q36.1e	ILMN_1725300	374.08	No	YES
12856	3151	HMGN2	1p36.11b	ILMN_1776879	373.73	No	YES
2923	5793	PTPRG	3p14.2b	ILMN_1779674	372.12	YES	No
47472	11128	POLR3A	10q22.3c	ILMN_1681837	371.98	No	YES
47293	146691	TOM1L2	17p11.2g	ILMN_1655068	371.39	YES	No
3831	11189	TNRC4	1q21.3a	ILMN_1681234	370.57	No	YES
34234	57016	AKR1B10	7q33b	ILMN_1672148	370.00	YES	No
5712	64783	RBM15	1p13.3a	ILMN_1666739	369.95	No	YES
5111	9623	TCL1B	14q32.13b	ILMN_2382309	369.47	YES	No
